AdjustedQueryTerm,PreferredTerm,SemanticType,ui,,,
symproic,Symproic,Organic Chemical|Pharmacologic Substance,C4325241,,,
symptom,Symptoms aspect,Functional Concept,C0683368,,,
symptoms,Symptoms aspect,Functional Concept,C0683368,,,
stress symptoms,Symptoms of stress,Sign or Symptom,C0521991,,,
synapse,Synapses,Body Space or Junction,C0039062,,,
synapsin,Synapsins,"Amino Acid, Peptide, or Protein|Biologically Active Substance",C0085252,,,
neural transmission,Synaptic Transmission,Cell Function,C0027793,,,
synarel,Synarel,"Amino Acid, Peptide, or Protein|Pharmacologic Substance",C0131793,,,
african buffalo,Syncerus caffer,Mammal,C0325254,,,
syncerus caffer,Syncerus caffer,Mammal,C0325254,,,
fainting,Syncope,Sign or Symptom,C0039070,,,
syncope,Syncope,Sign or Symptom,C0039070,,,
carotid sinus syndrome,"Syncope, Carotid Sinus",Disease or Syndrome,C0221046,,,
micturition syncope,"Syncope, Micturition",Disease or Syndrome,C0340855,,,
syndactyly,Syndactyly,Congenital Abnormality,C0039075,,,
sd1,"Syndactyly, Type I",Disease or Syndrome,C1861380,,,
syndrome,Syndrome,Disease or Syndrome,C0039082,,,
syndromes,Syndrome,Disease or Syndrome,C0039082,,,
concussion syndrome,syndrome; concussion,Disease or Syndrome,C1399624,,,
synechococcus sp mv1605b,Synechococcus sp. MV1605B,Bacterium,C4184920,,,
synaesthesia,Synesthesia,Mental or Behavioral Dysfunction,C0233778,,,
synesthesia,Synesthesia,Mental or Behavioral Dysfunction,C0233778,,,
synflorix,synflorix,Immunologic Factor,C3252923,,,
syngap1,SYNGAP1 gene,Gene or Genome,C1420546,,,
synkinesis,Synkinesis,Sign or Symptom,C0234362,,,
synonym,Synonym,Conceptual Entity,C0871468,,,
synonyms,Synonym,Conceptual Entity,C0871468,,,
synovial cavity,Synovial cavity of joint,Body Space or Junction,C0505381,,,
ganglion cyst,Synovial Cyst,Disease or Syndrome,C0085648,,,
synovial cysts,Synovial Cyst,Disease or Syndrome,C0085648,,,
synovial fluid,Synovial Fluid,Body Substance,C0039097,,,
synovial fluid and glucose,Synovial fluid glucose,Diagnostic Procedure,C1504333,,,
synovial fluid glucose,Synovial fluid glucose,Diagnostic Procedure,C1504333,,,
synovial joints,Synovial joint structure,Body Space or Junction,C0224507,,,
synovial membrane,Synovial Membrane,"Body Part, Organ, or Organ Component",C0039099,,,
synovium,Synovial Membrane,"Body Part, Organ, or Organ Component",C0039099,,,
synovial sarcoma,synovial sarcoma,Neoplastic Process,C0039101,,,
ss,synovial sarcoma,Neoplastic Process,C0039101,,,
pph,"Synovitis, Acne, Pustulosis, Hyperostosis, and Osteitis Syndrome",Disease or Syndrome,C0263859,,,
blau syndrome,"SYNOVITIS, GRANULOMATOUS, WITH UVEITIS AND CRANIAL NEUROPATHIES (disorder)",Disease or Syndrome,C1861303,,,
syntax,syntax,Idea or Concept,C0597547,,,
synthetic,Synthesis,Activity,C1883254,,,
synthetic biology,Synthetic Biology,Occupation or Discipline,C2936469,,,
synthetic drugs,Synthetic drug,Pharmacologic Substance,C0259849,,,
synthetic peptide,synthetic peptide,"Amino Acid, Peptide, or Protein",C0597551,,,
synthroid,Synthroid,"Amino Acid, Peptide, or Protein|Pharmacologic Substance",C0728762,,,
sintrom,Synthrom,Organic Chemical|Pharmacologic Substance,C0919378,,,
syntocinon,Syntocinon,"Amino Acid, Peptide, or Protein|Hormone|Pharmacologic Substance",C0592155,,,
synuclein,Synucleins,"Amino Acid, Peptide, or Protein|Biologically Active Substance",C0165073,,,
synvisc,Synvisc,Organic Chemical|Biomedical or Dental Material,C0723570,,,
syphilis,Syphilis,Disease or Syndrome,C0039128,,,
syphilis kidney,Syphilis of kidney,Disease or Syndrome,C0153180,,,
congenital syphilis,"Syphilis, Congenital",Disease or Syndrome,C0039131,,,
syphilis congenital,"Syphilis, Congenital",Disease or Syndrome,C0039131,,,
syria,Syria,Geographic Area,C0039138,,,
lilacs,Syringa,Plant,C0446269,,,
syringe driver,Syringe driver,Medical Device,C0262816,,,
syringe pump,Syringe pump,Medical Device,C0181332,,,
syringe,Syringes,Medical Device,C0039142,,,
needle syringe,SYRINGES/NEEDLES,Medical Device,C1875815,,,
syringoma,Syringoma,Neoplastic Process,C0206673,,,
syringomyelia,Syringomyelia,Disease or Syndrome,C0039144,,,
syrinx,Syringomyelia,Disease or Syndrome,C0039144,,,
syrup,Syrup - Food,Food,C0458173,,,
systane,Systane,Organic Chemical|Pharmacologic Substance,C1655274,,,
system,System,Functional Concept,C0449913,,,
snomed,Systematized Nomenclature of Medicine,Intellectual Product,C1136257,,,
snomed ct,Systematized Nomenclature of Medicine Clinical Terms,Intellectual Product,C1623497,,,
snomed-ct,Systematized Nomenclature of Medicine Clinical Terms,Intellectual Product,C1623497,,,
snomed clinical terms,Systematized Nomenclature of Medicine Clinical Terms,Intellectual Product,C1623497,,,
systemic,Systemic,Functional Concept,C0205373,,,
arterial tension,Systemic arterial pressure,Finding,C1272641,,,
tension arterial,Systemic arterial pressure,Finding,C1272641,,,
invasive candidiasis,Systemic candidiasis,Disease or Syndrome,C0153252,,,
systemic candidiasis,Systemic candidiasis,Disease or Syndrome,C0153252,,,
systemic chemotherapy,Systemic Chemotherapy,Therapeutic or Preventive Procedure,C1883256,,,
systemic disease,Systemic disease,Disease or Syndrome,C0442893,,,
sirs,Systemic Inflammatory Response Syndrome,Disease or Syndrome,C0242966,,,
systemic scleroderma,Systemic Scleroderma,Disease or Syndrome,C0036421,,,
systemic sclerosis,Systemic Scleroderma,Disease or Syndrome,C0036421,,,
systems thinking,Systems Analysis,Occupational Activity,C0039152,,,
systole,Systole,Temporal Concept,C0039155,,,
systolic dysfunction,Systolic dysfunction,Pathologic Function,C0749225,,,
systolic bp,Systolic Pressure,Clinical Attribute,C0871470,,,
syt1,SYT1 gene,Gene or Genome,C1420556,,,
szt2,SZT2 gene,Gene or Genome,C1825662,,,
t-shirt,T shirt,Manufactured Object,C0453919,,,
t2 toxin,T-2 Toxin,Organic Chemical|Hazardous or Poisonous Substance,C0039185,,,
lgll,T-Cell Large Granular Lymphocyte Leukemia,Neoplastic Process,C1955861,,,
htlv,"T-Cell Leukemia Viruses, Human",Virus,C0086427,,,
tcr,T-Cell Receptor,"Receptor|Immunologic Factor|Amino Acid, Peptide, or Protein",C0034790,,,
trec,T-cell receptor excision circle,"Nucleic Acid, Nucleoside, or Nucleotide",C1515131,,,
trd,T-Cell Receptors delta-Chain,"Receptor|Immunologic Factor|Amino Acid, Peptide, or Protein",C0087050,,,
t cell,T-Lymphocyte,Cell,C0039194,,,
t cells,T-Lymphocyte,Cell,C0039194,,,
t-cell,T-Lymphocyte,Cell,C0039194,,,
t-lymphocytes,T-Lymphocyte,Cell,C0039194,,,
t lymphocytes,T-Lymphocyte,Cell,C0039194,,,
t test,t-Test,Intellectual Product,C0871472,,,
t--tube,T-tube,Medical Device,C0175731,,,
t-tube,T-tube,Medical Device,C0175731,,,
taar1,TAAR1 gene,Gene or Genome,C1539908,,,
tabes dorsalis,Tabes Dorsalis,Disease or Syndrome,C0039223,,,
table,Table - furniture,Manufactured Object,C0039224,,,
tables,Table - furniture,Manufactured Object,C0039224,,,
tablet,Tablet Dosage Form,Biomedical or Dental Material,C0039225,,,
tablets,Tablet Dosage Form,Biomedical or Dental Material,C0039225,,,
tbl,Tablet Dosing Unit,Quantitative Concept,C1705223,,,
dispersible tablets,Tablet For Suspension Dosage Form,Biomedical or Dental Material,C1273630,,,
tac,TAC Regimen,Therapeutic or Preventive Procedure,C1883257,,,
tac1,TAC1 gene,Gene or Genome,C1420563,,,
tace,Tace,Organic Chemical|Hormone|Pharmacologic Substance,C0723595,,,
tachyarrhythmias,Tachyarrhythmia,Finding,C0080203,,,
rapid heart rate,Tachycardia,Finding,C0039231,,,
tachycardia,Tachycardia,Finding,C0039231,,,
ventricular tachycardia,"Tachycardia, Ventricular",Disease or Syndrome,C0042514,,,
tachypnea,Tachypnea,Finding,C0231835,,,
tacrine,Tacrine,Organic Chemical|Pharmacologic Substance,C0039245,,,
tha,Tacrine,Organic Chemical|Pharmacologic Substance,C0039245,,,
tacrolimus,Tacrolimus,Organic Chemical|Pharmacologic Substance,C0085149,,,
tacrolimus ointment,Tacrolimus Topical Ointment,Clinical Drug,C1253468,,,
tacrolimus topical,Tacrolimus Topical Product,Clinical Drug,C0939241,,,
astereognosis,Tactile Agnosia,Mental or Behavioral Dysfunction,C0234505,,,
tactile allodynia,Tactile Allodynia,Sign or Symptom,C0751213,,,
tactile memory,Tactile memory,Finding,C0561778,,,
tadalafil,tadalafil,Organic Chemical|Pharmacologic Substance,C1176316,,,
taf,TAF8 wt Allele,Gene or Genome,C1336572,,,
tafenoquine,tafenoquine,Organic Chemical|Pharmacologic Substance,C0903411,,,
tagamet,Tagamet,Organic Chemical|Pharmacologic Substance,C0592157,,,
tagrisso,Tagrisso,Organic Chemical|Pharmacologic Substance,C4058817,,,
tai chi,Tai Ji,Daily or Recreational Activity,C0376403,,,
tai chi chuan,Tai Ji,Daily or Recreational Activity,C0376403,,,
tai ji,Tai Ji,Daily or Recreational Activity,C0376403,,,
tai ji quan,Tai Ji,Daily or Recreational Activity,C0376403,,,
taiji,Tai Ji,Daily or Recreational Activity,C0376403,,,
tailor on,tailor,Professional or Occupational Group,C0402883,,,
taiwan,Taiwan,Geographic Area,C0039260,,,
tw,Taiwan,Geographic Area,C0039260,,,
antrodia cinnamomea,Taiwanofungus camphoratus,Fungus,C1650306,,,
ti,Tajikistan,Geographic Area,C0039247,,,
takayasu,Takayasu Arteritis,Disease or Syndrome,C0039263,,,
takayasus arteritis,Takayasu Arteritis,Disease or Syndrome,C0039263,,,
takayasu disease,Takayasu Arteritis,Disease or Syndrome,C0039263,,,
vital signs,Taking vital signs,Health Care Activity,C0150404,,,
takotsubo cardiomyopathy,Takotsubo Cardiomyopathy,Disease or Syndrome,C1739395,,,
takotsubo syndrome,Takotsubo Cardiomyopathy,Disease or Syndrome,C1739395,,,
broken heart syndrome,Takotsubo Cardiomyopathy,Disease or Syndrome,C1739395,,,
tal1,"TAL1 protein, human","Amino Acid, Peptide, or Protein|Biologically Active Substance",C0378781,,,
baby powder,Talc Topical application Powder [BABY POWDER],Pharmacologic Substance,C1648653,,,
talent,Talent,Mental Process,C0039269,,,
talin,Talin,"Amino Acid, Peptide, or Protein|Biologically Active Substance",C0085182,,,
cavus foot,Talipes cavus,Anatomical Abnormality,C0039273,,,
talocalcaneal coalition,Talocalcaneal coalition,Anatomical Abnormality,C1290468,,,
taltz,Taltz,"Immunologic Factor|Amino Acid, Peptide, or Protein|Pharmacologic Substance",C4224872,,,
astragalus,Talus,"Body Part, Organ, or Organ Component",C0039277,,,
talus,Talus,"Body Part, Organ, or Organ Component",C0039277,,,
talwin nx,Talwin NX,Organic Chemical|Pharmacologic Substance,C0075790,,,
tamanu oil,TAMANU OIL,Organic Chemical,C3555536,,,
tamarind,Tamarind extract,Organic Chemical|Pharmacologic Substance,C0452261,,,
tamiflu,Tamiflu,Organic Chemical|Pharmacologic Substance,C0876173,,,
tam,Tamil language,Language,C0039285,,,
tamil,Tamils,Population Group,C0337946,,,
uromodulin,Tamm-Horsfall protein,"Amino Acid, Peptide, or Protein|Pharmacologic Substance|Amino Acid, Peptide, or Protein|Pharmacologic Substance",C0077918,,,
tamoxifen,Tamoxifen,Organic Chemical|Pharmacologic Substance,C0039286,,,
tampons,Tampons,Medical Device,C0039288,,,
tamsulosin,tamsulosin,Organic Chemical|Pharmacologic Substance,C0257343,,,
tamsulosina,tamsulosin,Organic Chemical|Pharmacologic Substance,C0257343,,,
tamsulosin hydrochloride,Tamsulosin hydrochloride,Organic Chemical|Pharmacologic Substance,C0771774,,,
tandem repeats,Tandem Repeat Sequences,"Nucleic Acid, Nucleoside, or Nucleotide|Biologically Active Substance",C0039290,,,
tandem repeat,Tandem Repeat Sequences,"Nucleic Acid, Nucleoside, or Nucleotide|Biologically Active Substance",C0039290,,,
tanezumab,tanezumab,"Immunologic Factor|Amino Acid, Peptide, or Protein|Pharmacologic Substance",C2346819,,,
tangiers disease,Tangier Disease,Disease or Syndrome,C0039292,,,
tannate,Tannate,Organic Chemical|Pharmacologic Substance,C1950502,,,
tannate 12d s,Tannate 12D S,Organic Chemical|Pharmacologic Substance,C1330552,,,
tannin,Tannic Acid,Organic Chemical|Pharmacologic Substance,C0039294,,,
tan,Tanning of leather,Occupational Activity,C0039295,,,
tanning,Tanning of leather,Occupational Activity,C0039295,,,
tanshinone iia,tanshinone II A,Organic Chemical|Pharmacologic Substance,C0897640,,,
ta,Tantalum,"Element, Ion, or Isotope",C0039297,,,
tantalum,Tantalum,"Element, Ion, or Isotope",C0039297,,,
tantalum oxide,tantalum oxide,"Indicator, Reagent, or Diagnostic Aid|Inorganic Chemical",C0379743,,,
tap water,Tap water,Pharmacologic Substance|Inorganic Chemical,C2919405,,,
tapazole,Tapazole,Organic Chemical|Pharmacologic Substance,C0728778,,,
tapbp,TAPBP gene,Gene or Genome,C1420583,,,
ankle taping,taping of ankle,Therapeutic or Preventive Procedure,C2054227,,,
taraxacum,Taraxacum,Plant,C1093500,,,
tarceva,Tarceva,Organic Chemical|Pharmacologic Substance,C1135136,,,
tardbp,TARDBP gene,Gene or Genome,C1420588,,,
tardive dyskinesia,Tardive Dyskinesia,Disease or Syndrome,C0686347,,,
target heart rate,Target heart rate,Therapeutic or Preventive Procedure,C0744682,,,
targeted therapy,Targeted Therapy,Therapeutic or Preventive Procedure,C2985566,,,
tarlov cyst,Tarlov Cysts,Anatomical Abnormality,C0520720,,,
tarlov cysts,Tarlov Cysts,Anatomical Abnormality,C0520720,,,
perineural cysts,Tarlov Cysts,Anatomical Abnormality,C0520720,,,
taro,Taro Vegetable,Food,C0453146,,,
tar,Tars,Organic Chemical,C0039315,,,
tars2,TARS2 gene,Gene or Genome,C1539926,,,
tarsal coalition,Tarsal Coalition,Congenital Abnormality,C0265654,,,
tarsal tunnel syndrome,Tarsal Tunnel Syndrome,Disease or Syndrome,C0039319,,,
trap staining,Tartrate Resistant Acid Phosphatase Staining Method,Laboratory Procedure,C3897371,,,
tartrazine,Tartrazine,Organic Chemical|Chemical Viewed Functionally,C0039329,,,
tas2r38,TAS2R38 gene,Gene or Genome,C1419055,,,
tasimelteon,tasimelteon,Organic Chemical|Pharmacologic Substance,C1313052,,,
tasonermin,TASONERMIN,Organic Chemical|Pharmacologic Substance,C0937851,,,
taste,Taste Perception,Organ or Tissue Function,C0039336,,,
taste perception,Taste Perception,Organ or Tissue Function,C0039336,,,
tat,tat Genes,Gene or Genome,C0017375,,,
tbr,TATTON-BROWN-RAHMAN SYNDROME,Disease or Syndrome,C4014545,,,
tattoo,Tattooing,Health Care Activity,C0039343,,,
tattoos,Tattooing,Health Care Activity,C0039343,,,
nipple tattoos,Tattooing of nipple,Health Care Activity,C1997766,,,
tau protein,tau Proteins,"Amino Acid, Peptide, or Protein|Biologically Active Substance",C0085401,,,
ttk,tau-protein kinase activity,Molecular Function,C1325174,,,
taurine,Taurine,"Amino Acid, Peptide, or Protein|Biologically Active Substance|Pharmacologic Substance",C0039350,,,
tudca,tauroursodeoxycholic acid,Organic Chemical|Pharmacologic Substance,C0075857,,,
taussig bing,Taussig-Bing Anomaly,Congenital Abnormality,C1956413,,,
pub,Taverns,Manufactured Object,C0687760,,,
tefra,Tax Equity and Fiscal Responsibility Act,Regulation or Law,C0039368,,,
taxol,Taxol,Organic Chemical|Pharmacologic Substance,C0678133,,,
taxol -paclitaxel,Taxol® (Paclitaxel),Pharmacologic Substance,C3843722,,,
taxonomy,Taxonomic,Functional Concept,C0008903,,,
txt,Taxotere,Organic Chemical|Pharmacologic Substance,C0699967,,,
taxus,Taxus,Plant,C0330199,,,
yew,Taxus,Plant,C0330199,,,
gm2 gangliosidosis,Tay-Sachs Disease,Disease or Syndrome,C0039373,,,
tay sach,Tay-Sachs Disease,Disease or Syndrome,C0039373,,,
tay sachs,Tay-Sachs Disease,Disease or Syndrome,C0039373,,,
tay-sachs,Tay-Sachs Disease,Disease or Syndrome,C0039373,,,
tay-sachs disease,Tay-Sachs Disease,Disease or Syndrome,C0039373,,,
tsd,Tay-Sachs Disease,Disease or Syndrome,C0039373,,,
tay sachs disease,Tay-Sachs Disease,Disease or Syndrome,C0039373,,,
taz,TAZ gene,Gene or Genome,C1336578,,,
spatial,TBATA gene,Gene or Genome,C1428114,,,
carabin,TBC1D10C gene,Gene or Genome,C1539933,,,
tbccd1,TBCCD1 gene,Gene or Genome,C1823248,,,
tlp,TBPL1 gene,Gene or Genome,C1336594,,,
tga,TBX1 wt Allele,Gene or Genome,C2699751,,,
tbx3,TBX3 gene,Gene or Genome,C1420613,,,
tbx4,TBX4 gene,Gene or Genome,C1420614,,,
tci,TCN1 gene,Gene or Genome,C1420652,,,
tea,Tea,Food,C0039400,,,
tea tree oil,Tea Tree Oil,Organic Chemical|Pharmacologic Substance,C0216194,,,
black tea,Tea without milk,Food|Food,C0452440,,,
teachers,Teacher,Professional or Occupational Group,C0221457,,,
